,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
248_SVDB_id_12_Medical_tr_18462_1st_18562.csv,0.7555515503118371,0.9791249358204641,0.8012016512753796,0.9850389429684743,0.7357442146305984,0.8843168286984696,0.5333333333333328,0.7924946050168218,0.7312310512337533
249_SVDB_id_13_Medical_tr_50000_1st_54982.csv,0.6268448520891069,0.9657196042107274,0.6747599893479548,0.9792912228900937,0.6038615783200615,0.7226417355867188,0.2816901408450701,0.6556832260573865,0.6772837344036993
250_SVDB_id_14_Medical_tr_50000_1st_107354.csv,0.6007249378086482,0.9900202355342742,0.5402801429562233,0.9737158571122504,0.8021981578257621,0.9239652069586076,0.06349206349206314,0.544804415449592,0.6936045089037958
251_SVDB_id_15_Medical_tr_5421_1st_5521.csv,0.8091751929768402,0.9918111644066199,0.8496346869413983,0.9943878236977072,0.8107576510752529,0.9543271123710523,0.5676442762535473,0.8510144223548248,0.7485401506625582
253_SVDB_id_17_Medical_tr_17803_1st_17903.csv,0.8779601303291685,0.996363336253685,0.9106128011848607,0.9980230017509998,0.8234956182385227,0.9349955476402487,0.5551839464882938,0.8095434534329735,0.686752536710416
254_SVDB_id_18_Medical_tr_30824_1st_30924.csv,0.5074125165600882,0.9665349951498429,0.5585188292407001,0.9790607402795224,0.6043018771423971,0.7648893654352271,0.1985294117647054,0.6124187495853546,0.6939866754398759
255_SVDB_id_19_Medical_tr_50000_1st_54982.csv,0.4724752983569219,0.9564401938695977,0.5056502495322639,0.9716367645534126,0.522968231205147,0.6691605433088395,0.18972332015810256,0.5648138922385658,0.6772922889107835
256_SVDB_id_20_Medical_tr_6264_1st_6364.csv,0.6541677901081598,0.9602772702760406,0.7699280328986186,0.9820387283891231,0.6718657942199704,0.9352797443769182,0.3126050420168063,0.7105396182479622,0.6710735945105462
257_TAO_id_1_Environment_tr_500_1st_3.csv,0.14354468796379768,0.6098599934831105,0.910144292182668,0.9376600413985171,0.20940033901646224,0.209757061031009,0.18677042801556393,0.28595841672128575,0.5590994228746305
258_TAO_id_2_Environment_tr_500_1st_4.csv,0.18056576165236088,0.5887217962944282,0.9501387557232464,0.9622506159550146,0.26569573960063625,0.26595744680851024,0.23966490621016176,0.40018351963401066,0.575015537300558
260_IOPS_id_1_WebService_tr_5000_1st_11804.csv,0.9999999999999998,1.0,0.2651121474222908,0.9985107045743055,0.9999950000249999,0.9999999999999993,0.9999999999999991,1.0,0.6642783639251296
261_IOPS_id_2_WebService_tr_2178_1st_2278.csv,0.5062242292892218,0.9774246221614643,0.6295617630412016,0.9841941462633149,0.6666622222518517,0.6666666666666661,0.6666666666666657,0.4615384615384615,0.666662431322445
262_IOPS_id_3_WebService_tr_7028_1st_7128.csv,0.5303667562590211,0.941823555946668,0.37103577720589415,0.9407290453910343,0.5519027583088333,0.7714349675397352,0.1886792452830184,0.27951313000942973,0.8946555524888412
263_IOPS_id_4_WebService_tr_3482_1st_3582.csv,0.19977565506408637,0.9743720658624151,0.46302155506495374,0.9502138472362094,0.3373650988850831,0.3880281690140841,0.08124459809853052,0.3875564568020321,0.7533392014185986
264_IOPS_id_5_WebService_tr_11665_1st_11765.csv,0.16406886503477655,0.5930066667606918,0.17361326665298077,0.60089334027092,0.27328772180813043,0.996681415929203,0.7272727272727267,0.798405819141363,0.659806073494887
266_IOPS_id_7_WebService_tr_4010_1st_4110.csv,0.6992667015193625,0.9852237936979495,0.7578278711913338,0.9913825801660812,0.7112801616170908,0.9729729729729725,0.7150259067357507,0.783133938058337,0.6818369017906828
267_IOPS_id_8_WebService_tr_1534_1st_1882.csv,0.017673000410070677,0.7776902683679323,0.18789724719056497,0.8628719385033568,0.05263106648698421,0.05467625899280568,0.01038961038961038,0.2388235685355512,0.6734992013447644
268_IOPS_id_9_WebService_tr_6216_1st_6316.csv,0.4283918759357709,0.9384118467216929,0.5537731985371303,0.9551969249555444,0.5135633329357828,0.942210206150726,0.3673469387755097,0.6390491974529205,0.6666185930880143
269_IOPS_id_10_WebService_tr_1216_1st_1728.csv,0.7919918511228135,0.9952845576677838,0.8044233259297261,0.9970300466099224,0.7341725044365712,0.9999999999999996,0.9999999999999993,0.8917525773195877,0.6723505677977651
271_IOPS_id_12_WebService_tr_500_1st_341.csv,0.2188824884878695,0.6576060579539488,0.22632494379177923,0.6679100735965104,0.33765862038162175,0.36619718309859123,0.333333333333333,0.1866898663988155,0.7245997043800596
272_IOPS_id_13_WebService_tr_3442_1st_3542.csv,0.17473123235463214,0.9579897726809915,0.49590576162785127,0.9620267427620375,0.3153576729203666,0.3446191051995158,0.07692307692307647,0.3275339260047922,0.719301889710061
273_IOPS_id_14_WebService_tr_5569_1st_5669.csv,0.06474389670835046,0.8142506680596299,0.4036667596080717,0.9617142334701966,0.17400319292044983,0.19097793875535032,0.06097560975609706,0.30179997517998414,0.6921784157708044
274_IOPS_id_15_WebService_tr_4591_1st_4691.csv,0.5096999778925475,0.9294557832786079,0.5832600237500847,0.9031999261898572,0.5236486748841039,0.7480877103518606,0.1762632197414803,0.43411313988599515,0.7216779856524265
275_IOPS_id_16_WebService_tr_1482_1st_1582.csv,0.010674366221010692,0.6533591541213308,0.10294931170017722,0.7499728147575145,0.032881674175660194,0.04805491990846677,0.005692599620493342,0.14581367924029467,0.6706680291889656
276_IOPS_id_17_WebService_tr_19197_1st_19297.csv,0.8603295506687658,0.9979307258324348,0.7862567092772308,0.9779376547426192,0.933302707599243,0.949079514296905,0.2696629213483142,0.5701063779770671,0.6969422650835034
277_NEK_id_1_WebService_tr_500_1st_17.csv,0.8929602888247261,0.988290263036456,0.9893733331944633,0.998933259437716,0.8139484911069382,0.9887640449438196,0.8333333333333327,0.8479320797195304,0.8539602823555672
278_NEK_id_2_WebService_tr_500_1st_64.csv,0.8061104011493088,0.9838064713064713,0.8914591895773313,0.9905169514583543,0.7222176080541708,0.7659574468085102,0.5333333333333327,0.6486519356632628,0.8547875417487918
279_NEK_id_3_WebService_tr_500_1st_974.csv,0.7996961996342128,0.9900852711443343,0.9087649391851328,0.9959551500130359,0.9333283555821035,0.9945355191256825,0.8888888888888881,0.9333333333333333,0.8100010788027814
281_NEK_id_5_WebService_tr_500_1st_974.csv,0.8214880783184878,0.9895477618827873,0.9006371432797109,0.9946314887083949,0.9263108166471948,0.9999999999999996,0.9999999999999993,0.9263157894736842,0.7750434720160887
282_NEK_id_6_WebService_tr_500_1st_64.csv,0.4231580339610633,0.9063177746346063,0.48848387034429047,0.9055478103059498,0.46666167921997004,0.5090909090909086,0.2666666666666664,0.538428301264796,0.8929774901957416
283_NEK_id_7_WebService_tr_500_1st_777.csv,0.8170386745838232,0.9912819167541098,0.9392603964393047,0.9961581988729307,0.9486116140179974,0.9677419354838704,0.6363636363636358,0.9613999961496256,0.8701726769781228
284_NEK_id_8_WebService_tr_500_1st_976.csv,0.7926373351391388,0.9878619713163423,0.9005886091286365,0.9948851063590916,0.9128155508488005,0.9999999999999996,0.9999999999999993,0.9128205128205129,0.9572323091910641
285_NEK_id_9_WebService_tr_500_1st_780.csv,0.7578009622383912,0.9871521780848206,0.916557018608371,0.9942274495951408,0.9145249441427271,0.939130434782608,0.4705882352941171,0.9443481152466687,0.8579139570413526
286_CATSv2_id_1_Sensor_tr_17792_1st_17892.csv,0.53326056081655,0.7409635447860203,0.36394760258321707,0.73903775207652,0.6100839945212221,0.6776584480411431,0.21153846153846104,0.42125351433055364,0.7124530066779766
287_TODS_id_1_Synthetic_tr_500_1st_11.csv,0.09110284770403508,0.610395196296485,0.8577378479488664,0.9128860093961652,0.14143041543537788,0.14240837696335037,0.13262032085561457,0.19211637580436994,0.6692157280830825
288_TODS_id_2_Synthetic_tr_500_1st_65.csv,0.6955893284259951,0.8575109344340115,0.7363185012120165,0.8445291584059417,0.7207159584114698,0.7434944237918211,0.09859154929577416,0.12087345501616069,0.6723596040092111
289_TODS_id_3_Synthetic_tr_500_1st_26.csv,0.203747311201234,0.7115197207678884,0.7361012852870255,0.8493471705530973,0.2910748281617812,0.32338308457711396,0.12213740458015217,0.18149494238791644,0.6722248990008172
290_TODS_id_4_Synthetic_tr_500_1st_26.csv,0.5236997947221774,0.8690094999436501,0.715678286636562,0.8268897921267353,0.5357719301324162,0.6967471143756553,0.10658307210031305,0.28373822582425207,0.6570808162394768
292_TODS_id_6_Synthetic_tr_500_1st_11.csv,0.07637211196763118,0.5905614049555372,0.8495903596865911,0.9124483452580304,0.1259687710197697,0.12609736632082966,0.11699604743082972,0.1910733548267888,0.6714293840151507
293_TODS_id_7_Synthetic_tr_500_1st_7.csv,0.2503220009114873,0.8290938163538727,0.6364981132274055,0.90257261320333,0.3631077746851939,0.39301310043668075,0.13866666666666644,0.4364037878594507,0.7689764551018897
294_TODS_id_8_Synthetic_tr_500_1st_200.csv,0.7066244153049497,0.9468561945936504,0.7439372862419025,0.9252172307978765,0.6628429271680969,0.7497820401046202,0.38095238095238054,0.5188767253309838,0.8337626520715482
295_TODS_id_9_Synthetic_tr_1250_1st_2046.csv,0.5696527067082119,0.9207408643417319,0.6554674073571006,0.9257779787949764,0.5652594191934845,0.7838479809976242,0.29090909090909045,0.5456997847165838,0.7273070731286946
296_TODS_id_10_Synthetic_tr_500_1st_26.csv,0.11673909139978318,0.6335487906588825,0.7678128293768577,0.8661454385111493,0.17457893262312227,0.17724867724867685,0.09770114942528701,0.1751258661146458,0.66993785442853
297_TODS_id_11_Synthetic_tr_500_1st_7.csv,0.1901224893286479,0.8059000049496685,0.5644797307180957,0.8709381218011636,0.2908498787645959,0.3201219512195117,0.10869565217391282,0.29900671618643554,0.7990633408927685
298_TODS_id_12_Synthetic_tr_500_1st_0.csv,0.647144631241225,0.8784441698613353,0.6996484240642215,0.8282154909060693,0.666661786951748,0.7633587786259536,0.14285714285714246,0.5006142230142454,0.6690435726904364
299_TODS_id_13_Synthetic_tr_500_1st_65.csv,0.14669663419715953,0.7762968231538842,0.6851349419874745,0.8410604031289178,0.2613725977051078,0.5312499999999996,0.09448818897637769,0.17816591471064266,0.6056957485785875
301_TODS_id_15_Synthetic_tr_500_1st_245.csv,0.44552454644216505,0.8575822307242679,0.5926349326320144,0.877131957574464,0.41092109680881106,0.6716417910447756,0.33333333333333304,0.5146600269171511,0.7592269836502001
302_Power_id_1_Facility_tr_7685_1st_7785.csv,0.06457448018732567,0.39533962754889723,0.06717481598044936,0.40427211766073257,0.16291038091758134,0.37338975667434154,0.009353078721745872,0.19052810814900215,0.6860376379648694
304_UCR_id_2_Medical_tr_2499_1st_7000.csv,0.1141117824802464,0.9804644149577804,0.12899350784335484,0.9808237832271915,0.23931287900108855,0.5154639175257727,0.059999999999999935,0.3385826771653543,0.667128082793981
309_UCR_id_7_Medical_tr_3000_1st_5948.csv,1.0,1.0,0.9976534530921924,0.9999951906639971,0.9999950000249999,0.9999999999999996,0.9999999999999991,0.9910313901345292,0.6666684722017219
326_UCR_id_24_Medical_tr_1875_1st_4187.csv,0.8405588624338626,0.9997329416477501,0.9393967170268492,0.9998744860252021,0.7999952000287999,0.9999999999999993,0.9999999999999991,0.8,0.6666633597215208
346_UCR_id_44_Medical_tr_7456_1st_17390.csv,0.49550174434460836,0.650736954990053,0.3247856654426268,0.6858296707206966,0.5937456272023435,0.9999999999999996,0.9999999999999993,0.6888566316713364,0.6647976690361169
361_UCR_id_59_Medical_tr_3000_1st_7175.csv,0.8933035819679662,0.9980996809168691,0.9675931125049355,0.9995250122301849,0.8537025218653055,0.9999999999999996,0.9999999999999993,0.8502994011976047,0.6668022348587276
371_UCR_id_69_Medical_tr_1853_1st_6200.csv,0.8616620374139757,0.9964502902610319,0.9525564127622738,0.9989757129711315,0.7727225310208323,0.9999999999999996,0.9999999999999993,0.7742687513599206,0.6686721752742237
382_UCR_id_80_Medical_tr_7500_1st_11800.csv,0.9267693910566205,0.9982662177328844,0.908737402820677,0.9983247828952012,0.8888839506447186,0.9999999999999996,0.9999999999999993,0.9082969432314411,0.6953548658845247
391_UCR_id_89_Medical_tr_1875_1st_5759.csv,0.9053918896372639,0.9976115463215259,0.9691585813251631,0.999372746553596,0.8121779175220126,0.9999999999999996,0.9999999999999993,0.8130563798219584,0.6668644625021607
396_UCR_id_94_Medical_tr_1875_1st_5607.csv,0.7183679883208904,0.999068375305999,0.948841280750065,0.9998507995931354,0.7714238326821706,0.9999999999999996,0.9999999999999991,0.7558810474922326,0.6666679806720943
415_UCR_id_113_Medical_tr_3000_1st_8612.csv,0.997905970550737,0.9999814093942372,0.9970439520339408,0.9999819695183572,0.976520824377002,0.9999999999999996,0.9999999999999993,0.9707785840360854,0.6666956040208502
